producto,material,diametro_nominal,presion_nominal,sdr,diametro_min,diametro_max,espesor_min_norma,espesor_max_norma,ovalidad_norma,peso_min_teorico,peso_max_teorico,presion_phi,temperatura_phi,tiempo_phi,color_tuberia,color_linea,code
50mm x 200m HDPE PN-16 SDR-11,PE100,50,PN-16 SDR-11,SDR-11,50.0,50.4,4.6,5.2,0.626566,0.705171,1.4,24.8,110,1,NEGRO,AZUL,
50mm x 6m SMARTCOLORS PN-16 SDR-11,PE100,50,PN-16 SDR-11,SDR-11,50.0,50.4,4.6,5.2,0.626566,0.705171,1.4,24.8,110,1,,
50mm x 12m SMARTCOLORS PN-16 SDR-11,PE100,50,PN-16 SDR-11,SDR-11,50.0,50.4,4.6,5.2,0.626566,0.705171,1.4,24.8,110,1,,
50mm x 50m SMARTCOLORS PN-16 SDR-11,PE100,50,PN-16 SDR-11,SDR-11,50.0,50.4,4.6,5.2,0.626566,0.705171,1.4,24.8,110,1,,
50mm x 100m SMARTCOLORS PN-16 SDR-11,PE100,50,PN-16 SDR-11,SDR-11,50.0,50.4,4.6,5.2,0.626566,0.705171,1.4,24.8,110,1,,
50mm x 150m SMARTCOLORS PN-16 SDR-11,PE100,50,PN-16 SDR-11,SDR-11,50.0,50.4,4.6,5.2,0.626566,0.705171,1.4,24.8,110,1,,
50mm x 200m SMARTCOLORS PN-16 SDR-11,PE100,50,PN-16 SDR-11,SDR-11,50.0,50.4,4.6,5.2,0.626566,0.705171,1.4,24.8,110,1,,
50mm x 6m HDPE PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,NEGRO,AZUL,
50mm x 12m HDPE PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,NEGRO,AZUL,
50mm x 50m HDPE PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,NEGRO,AZUL,
50mm x 100m HDPE PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,NEGRO,AZUL,
50mm x 150m HDPE PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,NEGRO,AZUL,
50mm x 200m HDPE PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,NEGRO,AZUL,
50mm x 6m SMARTCOLORS PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,,
50mm x 12m SMARTCOLORS PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,,
50mm x 50m SMARTCOLORS PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,,
50mm x 100m SMARTCOLORS PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,,
50mm x 150m SMARTCOLORS PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,,
50mm x 200m SMARTCOLORS PN-12,5 SDR-13,6,PE100,50,PN-12,5 SDR-13,6,SDR-13,6,50.0,50.4,3.7,4.2,0.513967,0.582162,1.4,19.7,110,1,,
50mm x 6m HDPE PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,NEGRO,AZUL,
50mm x 12m HDPE PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,NEGRO,AZUL,
50mm x 50m HDPE PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,NEGRO,AZUL,
50mm x 100m HDPE PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,NEGRO,AZUL,
50mm x 150m HDPE PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,NEGRO,AZUL,
50mm x 200m HDPE PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,NEGRO,AZUL,
50mm x 6m SMARTCOLORS PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,,
50mm x 12m SMARTCOLORS PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,,
50mm x 50m SMARTCOLORS PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,,
50mm x 100m SMARTCOLORS PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,,
50mm x 150m SMARTCOLORS PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,,
50mm x 200m SMARTCOLORS PN-10 SDR-17,PE100,50,PN-10 SDR-17,SDR-17,50.0,50.4,3.0,3.4,0.423031,0.479435,1.4,15.5,110,1,,
50mm x 6m CHAQUETA PP-UV S-20,PP-R,50,S-20,S-20,50.0,50.3,1.8,2.2,0.2467,0.3009,1.4,,150,1,GRIS(AQS),SIN LÍNEA,
50mm x 6m BETA/FIBRA PN-16 S-3,2,PP-RCT/FV,50,PN-16 S-3,2,S-3,2,50.1,50.5,6.9,7.7,0.8803,0.9732,1.4,47,135,1,GRIS(BETA),NARANJA,
50mm x 6m BETA/FIBRA PN-12,5 S-4,PP-RCT/FV,50,PN-12,5 S-4,S-4,50.1,50.5,5.6,6.3,0.7359,0.8223,1.4,38,135,1,GRIS(BETA),NARANJA,
50mm x 6m BETA/FIBRA PN-10 S-5,PP-RCT/FV,50,PN-10 S-5,S-5,50.1,50.5,4.6,5.2,0.6181,0.6956,1.4,30,135,1,GRIS(BETA),NARANJA,
50mm x 6m BETA PN-16 S-3,2,PP-RCT,50,PN-16 S-3,2,S-3,2,50.1,50.5,6.9,7.7,0.8437,0.9328,1.4,47,135,1,GRIS(BETA),ROJO,
50mm x 6m BETA PN-12,5 S-4,PP-RCT,50,PN-12,5 S-4,S-4,50.1,50.5,5.6,6.3,0.7054,0.7882,1.4,38,135,1,GRIS(BETA),BLANCO,
50mm x 6m BETA PN-12,5 S-4,PP-RCT,50,PN-12,5 S-4,S-4,50.1,50.5,5.6,6.3,0.7054,0.7882,1.4,38,135,1,GRIS(BETA),BLANCO,
50mm x 6m BETA PN-10 S-5,PP-RCT,50,PN-10 S-5,S-5,50.1,50.5,4.6,5.2,0.5924,0.6668,1.4,30,135,1,GRIS(BETA),AZUL,
50mm x 6m AQUASYSTEM TRICAPA S-20,PP-R,50,S-20,S-20,50.0,50.3,1.8,2.2,0.2467,0.3009,1.4,,150,1,GRIS(AQS),SIN LÍNEA,
50mm x 6m AQUASYSTEM IPS S-14,PP-R100/CACO3,50,S-14,S-14,50.0,50.3,1.8,3.0,0.2952,0.4828,1.4,,150,1,NEGRO,NARANJA,
50mm x 5m AQUASYSTEM TRICAPA S-20,PP-R,50,S-20,S-20,50.0,50.3,1.8,2.2,0.2952,0.3600,1.4,,150,1,GRIS(AQS),SIN LÍNEA,
50mm x 5m R3 PN-20 S-2,5,PP-R,50,PN-20 S-2,5,S-2,5,50.1,50.5,8.3,9.3,0.9864,1.0894,1.4,64,135,2,GRIS(R3),VERDE,
50mm x 5m R3 PN-16 S-3,2,PP-R,50,PN-16 S-3,2,S-3,2,50.1,50.5,6.9,7.7,0.8475,0.9370,1.4,50,135,1,GRIS(R3),ROJO,
50mm x 5m R3 PN-10 S-5,PP-R,50,PN-10 S-5,S-5,50.1,50.5,4.6,5.2,0.5951,0.6697,1.4,32,135,1,GRIS(R3),AZUL,
50mm x 5m POLI-ONE PN-16 S-3,2,PP-R,50,PN-16 S-3,2,S-3,2,50.1,50.5,6.9,7.7,0.8475,0.9370,1.4,50,135,1,GRIS(P1),ROJO,
50mm x 5m POLI-ONE PN-10 S-5,PP-R,50,PN-10 S-5,S-5,50.1,50.5,4.6,5.2,0.5951,0.6697,1.4,32,135,1,GRIS(P1),AZUL,
50mm x 5m CHAQUETA PP-UV S-20,PP-R,50,S-20,S-20,50.0,50.3,1.8,2.2,0.2467,0.3009,1.4,,150,1,GRIS(AQS),SIN LÍNEA,
50mm x 5m BETA/FIBRA PN-16 S-3,2,PP-RCT/FV,50,PN-16 S-3,2,S-3,2,50.1,50.5,6.9,7.7,0.8803,0.9732,1.4,47,135,1,GRIS(BETA),NARANJA,
50mm x 5m BETA/FIBRA PN-12,5 S-4,PP-RCT/FV,50,PN-12,5 S-4,S-4,50.1,50.5,5.6,6.3,0.7359,0.8223,1.4,38,135,1,GRIS(BETA),NARANJA,
50mm x 5m BETA/FIBRA PN-10 S-5,PP-RCT/FV,50,PN-10 S-5,S-5,50.1,50.5,4.6,5.2,0.6181,0.6956,1.4,30,135,1,GRIS(BETA),NARANJA,
50mm x 5m BETA/FIBRA PN-10 S-5,PP-RCT/FV,50,PN-10 S-5,S-5,50.1,50.5,4.6,5.2,0.6181,0.6956,1.4,30,135,1,GRIS(BETA),NARANJA,
50mm x 5m BETA PN-12,5 S-4,PP-RCT,50,PN-12,5 S-4,S-4,50.1,50.5,5.6,6.3,0.7054,0.7882,1.4,38,135,1,GRIS(BETA),BLANCO,
50mm x 5m AQUASYSTEM IPS S-14,PP-R100/CACO3,50,S-14,S-14,50.0,50.3,1.8,3.0,0.2952,0.4828,1.4,,150,1,NEGRO,NARANJA,
450mm x 6m HDPE PN-16 SDR-11,PE100,450,PN-16 SDR-11,SDR-11,450.0,452.7,40.9,45.1,50.200225,55.152296,15.6,24.8,110,4,NEGRO,AZUL,
450mm x 12m HDPE PN-16 SDR-11,PE100,450,PN-16 SDR-11,SDR-11,450.0,452.7,40.9,45.1,50.200225,55.152296,15.6,24.8,110,4,NEGRO,AZUL,
450mm x 6m SMARTCOLORS PN-16 SDR-11,PE100,450,PN-16 SDR-11,SDR-11,450.0,452.7,40.9,45.1,50.200225,55.152296,15.6,24.8,110,4,,
450mm x 12m SMARTCOLORS PN-16 SDR-11,PE100,450,PN-16 SDR-11,SDR-11,450.0,452.7,40.9,45.1,50.200225,55.152296,15.6,24.8,110,4,,
450mm x 6m HDPE PN-12,5 SDR-13,6,PE100,450,PN-12,5 SDR-13,6,SDR-13,6,450.0,452.7,33.1,36.6,41.401184,45.691107,15.6,19.7,110,4,NEGRO,AZUL,
450mm x 12m HDPE PN-12,5 SDR-13,6,PE100,450,PN-12,5 SDR-13,6,SDR-13,6,450.0,452.7,33.1,36.6,41.401184,45.691107,15.6,19.7,110,4,NEGRO,AZUL,
450mm x 6m SMARTCOLORS PN-12,5 SDR-13,6,PE100,450,PN-12,5 SDR-13,6,SDR-13,6,450.0,452.7,33.1,36.6,41.401184,45.691107,15.6,19.7,110,4,,
450mm x 12m SMARTCOLORS PN-12,5 SDR-13,6,PE100,450,PN-12,5 SDR-13,6,SDR-13,6,450.0,452.7,33.1,36.6,41.401184,45.691107,15.6,19.7,110,4,,
450mm x 6m HDPE PN-8 SDR-21,PE100,450,PN-8 SDR-21,SDR-21,450.0,452.7,21.5,23.8,27.640263,30.625690,15.6,12.4,110,1,NEGRO,AZUL,
450mm x 12m HDPE PN-8 SDR-21,PE100,450,PN-8 SDR-21,SDR-21,450.0,452.7,21.5,23.8,27.640263,30.625690,15.6,12.4,110,1,NEGRO,AZUL,
450mm x 6m HDPE PN-10 SDR-17,PE100,450,PN-10 SDR-17,SDR-17,450.0,452.7,26.7,29.5,33.908799,37.455927,15.6,15.5,110,4,NEGRO,AZUL,
450mm x 12m HDPE PN-10 SDR-17,PE100,450,PN-10 SDR-17,SDR-17,450.0,452.7,26.7,29.5,33.908799,37.455927,15.6,15.5,110,4,NEGRO,AZUL,
450mm x 6m SMARTCOLORS PN-10 SDR-17,PE100,450,PN-10 SDR-17,SDR-17,450.0,452.7,26.7,29.5,33.908799,37.455927,15.6,15.5,110,4,,
450mm x 12m SMARTCOLORS PN-10 SDR-17,PE100,450,PN-10 SDR-17,SDR-17,450.0,452.7,26.7,29.5,33.908799,37.455927,15.6,15.5,110,4,,
450mm x 6m HDPE PN-6 SDR-27,6,PE100,450,PN-6 SDR-27,6,SDR-27,6,450.0,452.7,16.3,19.1,21.209474,24.847089,15.6,9.3,110,4,NEGRO,AZUL,
450mm x 12m HDPE PN-6 SDR-27,6,PE100,450,PN-6 SDR-27,6,SDR-27,6,450.0,452.7,16.3,19.1,21.209474,24.847089,15.6,9.3,110,4,NEGRO,AZUL,
450mm x 6m SMARTCOLORS PN-6 SDR-27,6,PE100,450,PN-6 SDR-27,6,SDR-27,6,450.0,452.7,16.3,19.1,21.209474,24.847089,15.6,9.3,110,4,,
450mm x 12m SMARTCOLORS PN-6 SDR-27,6,PE100,450,PN-6 SDR-27,6,SDR-27,6,450.0,452.7,16.3,19.1,21.209474,24.847089,15.6,9.3,110,4,,
40mm x 6m R3 PN-20 S-2,5,PP-R,40,PN-20 S-2,5,S-2,5,40.1,40.4,6.7,7.5,0.6362,0.7015,1.4,64,135,1,GRIS(R3),VERDE,
40mm x 6m R3 PN-16 S-3,2,PP-R,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5410,0.6029,1.4,50,135,1,GRIS(R3),ROJO,
40mm x 6m R3 PN-10 S-5,PP-R,40,PN-10 S-5,S-5,40.1,40.4,3.7,4.2,0.3829,0.4323,1.4,32,135,1,GRIS(R3),AZUL,
40mm X 6m PVDF SDR-17 S-8,PVDF,40,SDR-17,S-8,40.0,40.3,2.4,2.9,0.5046,0.6065,1.4,,150,1,BLANCO(PVDF),SIN LÍNEA,
40mm x 6m PP-H PN-16 S-3,2,PP-H,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5410,0.6029,1.4,65.6,150,1,GRIS(PP-H),SIN LÍNEA,
40mm x 6m SMART PIPE/PP-RCT PN-16 S-3,2,PP-RCT,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5387,0.6002,1.4,47,135,1,GRIS(BETA),ROJO,
40mm x 6m POLI-ONE/BETA PN-16 S-3,2,PP-RCT,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5387,0.6002,1.4,47,135,1,GRIS(P1),ROJO,
40mm x 6m PPR-DG PN-16 S-3,2 MC,PP-R,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5410,0.6029,1.4,50,135,1,,
40mm x 6m POLI-ONE PN-10 S-5,PP-R,40,PN-10 S-5,S-5,40.1,40.4,3.7,4.2,0.3829,0.4323,1.4,32,135,1,GRIS(P1),AZUL,
40mm x 6m HDPE PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,NEGRO,AZUL,
40mm x 12m HDPE PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,NEGRO,AZUL,
40mm x 50m HDPE PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,NEGRO,AZUL,
40mm x 100m HDPE PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,NEGRO,AZUL,
40mm x 150m HDPE PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,NEGRO,AZUL,
40mm x 200m HDPE PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,NEGRO,AZUL,
40mm x 6m SMARTCOLORS PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,,
40mm x 12m SMARTCOLORS PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,,
40mm x 50m SMARTCOLORS PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,,
40mm x 100m SMARTCOLORS PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,,
40mm x 150m SMARTCOLORS PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,,
40mm x 200m SMARTCOLORS PN-20 SDR-9,PE100,40,PN-20 SDR-9,SDR-9,40.0,40.4,4.5,5.1,0.479285,0.540129,1.4,31,110,1,,
40mm x 6m HDPE PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,NEGRO,AZUL,
40mm x 12m HDPE PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,NEGRO,AZUL,
40mm x 50m HDPE PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,NEGRO,AZUL,
40mm x 100m HDPE PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,NEGRO,AZUL,
40mm x 150m HDPE PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,NEGRO,AZUL,
40mm x 200m HDPE PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,NEGRO,AZUL,
40mm x 6m SMARTCOLORS PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,,
40mm x 12m SMARTCOLORS PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,,
40mm x 50m SMARTCOLORS PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,,
40mm x 100m SMARTCOLORS PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,,
40mm x 150m SMARTCOLORS PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,,
40mm x 200m SMARTCOLORS PN-16 SDR-11,PE100,40,PN-16 SDR-11,SDR-11,40.0,40.4,3.7,4.2,0.402959,0.456153,1.4,24.8,110,1,,
40mm x 6m HDPE PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,NEGRO,AZUL,
40mm x 12m HDPE PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,NEGRO,AZUL,
40mm x 50m HDPE PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,NEGRO,AZUL,
40mm x 100m HDPE PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,NEGRO,AZUL,
40mm x 150m HDPE PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,NEGRO,AZUL,
40mm x 200m HDPE PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,NEGRO,AZUL,
40mm x 6m SMARTCOLORS PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,,
40mm x 12m SMARTCOLORS PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,,
40mm x 50m SMARTCOLORS PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,,
40mm x 100m SMARTCOLORS PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,,
40mm x 150m SMARTCOLORS PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,,
40mm x 200m SMARTCOLORS PN-12,5 SDR-13,6,PE100,40,PN-12,5 SDR-13,6,SDR-13,6,40.0,40.4,3.0,3.5,0.333024,0.387478,1.4,19.7,110,1,,
40mm x 6m HDPE PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,NEGRO,AZUL,
40mm x 12m HDPE PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,NEGRO,AZUL,
40mm x 50m HDPE PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,NEGRO,AZUL,
40mm x 100m HDPE PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,NEGRO,AZUL,
40mm x 150m HDPE PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,NEGRO,AZUL,
40mm x 200m HDPE PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,NEGRO,AZUL,
40mm x 6m SMARTCOLORS PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,,
40mm x 12m SMARTCOLORS PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,,
40mm x 50m SMARTCOLORS PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,,
40mm x 100m SMARTCOLORS PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,,
40mm x 150m SMARTCOLORS PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,,
40mm x 200m SMARTCOLORS PN-10 SDR-17,PE100,40,PN-10 SDR-17,SDR-17,40.0,40.4,2.4,2.8,0.270740,0.315863,1.4,15.5,110,1,,
40mm x 6m CHAQUETA PP-UV S-20,PP-R,40,S-20,S-20,40.0,40.3,1.8,2.2,0.1955,0.2383,1.4,,150,1,GRIS(AQS),SIN LÍNEA,
40mm x 6m BETA/FIBRA PN-16 S-3,2,PP-RCT/FV,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5620,0.6262,1.4,47,135,1,GRIS(BETA),NARANJA,
40mm x 6m BETA/FIBRA PN-12,5 S-4,PP-RCT/FV,40,PN-12,5 S-4,S-4,40.1,40.4,4.5,5.1,0.4731,0.5316,1.4,38,135,1,GRIS(BETA),NARANJA,
40mm x 6m BETA/FIBRA PN-10 S-5,PP-RCT/FV,40,PN-10 S-5,S-5,40.1,40.4,3.7,4.2,0.3977,0.4490,1.4,30,135,1,GRIS(BETA),NARANJA,
40mm x 6m BETA PN-16 S-3,2,PP-RCT,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5387,0.6002,1.4,47,135,1,GRIS(BETA),ROJO,
40mm x 6m BETA PN-12,5 S-4,PP-RCT,40,PN-12,5 S-4,S-4,40.1,40.4,4.5,5.1,0.4535,0.5096,1.4,38,135,1,GRIS(BETA),BLANCO,
40mm x 6m BETA PN-10 S-5,PP-RCT,40,PN-10 S-5,S-5,40.1,40.4,3.7,4.2,0.3812,0.4304,1.4,30,135,1,GRIS(BETA),AZUL,
40mm x 6m AQUASYSTEM TRICAPA S-20,PP-R,40,S-20,S-20,40.0,40.3,1.8,2.2,0.1955,0.2383,1.4,,150,1,GRIS(AQS),SIN LÍNEA,
40mm x 6m AQUASYSTEM IPS S-14,PP-R100/CACO3,40,S-14,S-14,40.0,40.3,1.8,3.0,0.2339,0.3807,1.4,,150,1,NEGRO,NARANJA,
40mm x 6m AQUASYSTEM IPS S-14,PP-R100/CACO3,40,S-14,S-14,40.0,40.3,1.8,3.0,0.2339,0.3807,1.4,,150,1,NEGRO,NARANJA,
40mm x 5m R3 PN-20 S-2,5,PP-R,40,PN-20 S-2,5,S-2,5,40.1,40.4,6.7,7.5,0.6362,0.7015,1.4,64,135,1,GRIS(R3),VERDE,
40mm x 5m R3 PN-16 S-3,2,PP-R,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5410,0.6029,1.4,50,135,1,GRIS(R3),ROJO,
40mm x 5m R3 PN-10 S-5,PP-R,40,PN-10 S-5,S-5,40.1,40.4,3.7,4.2,0.3829,0.4323,1.4,32,135,1,GRIS(R3),AZUL,
40mm x 5m POLI-ONE PN-16 S-3,2,PP-R,40,PN-16 S-3,2,S-3,2,40.1,40.4,5.5,6.2,0.5410,0.6029,1.4,50,135,1,GRIS(P1),ROJO,
40mm x 5m POLI-ONE PN-10 S-5,PP-R,40,PN-10 S-5,S-5,40.1,40.4,3.7,4.2,0.3829,0.4323,1.4,32,135,1,GRIS(P1),AZUL,
